bvid,arcurl,title,pubdate,rank_offset,author,mid,play,review,video_review,favorites,duration,tag,description
BV1yt41187ad,http://www.bilibili.com/video/av41263195,【MUGEN】龙傲天队 VS 挂逼队【1080P】【60帧】,2019-01-21 06:13:38,1,L的朋友,2025332,349650,742,3739,2782,830,"MUGEN,论BGM的重要性,神仙打架,BGM燃,一拳超人,死神,刀剑神域,反叛的鲁路修,魔法禁书目录,魔法高校劣等生","我的理解是：“龙傲天”基本上全是“挂逼”，但“挂逼”不一定是“龙傲天”，所以视频里双方有些人物其实是可以互换的，至于我这么分配肯定有我的理由，如果某些人不认同我的归类的话请随意，只要别无脑秀存在感就好了
封面有两个人物我用的并非是视频中所使用的人物的素材，为了好看一点用了“高清版”的，所以说UP是个封面党，请举报之~~~"
BV1nt411a7Cv,http://www.bilibili.com/video/av41089061,【mugen】奥利巴vs多利安,2019-01-19 04:04:21,2,Xuwanzi,177812989,287774,53,28,95,138,"MUGEN,刃牙,新人",不知道拿什么当封面，就随便找了一张，，话说前期那么高逼格的奥利巴，到了相扑道竟然被吊锤。。
BV1Dt41167na,http://www.bilibili.com/video/av39563912,【MUGEN】孙悟空 VS 拳皇BOSS队【1080P】【60帧】,2019-01-01 02:18:50,3,L的朋友,2025332,241270,870,1458,1607,517,"MUGEN,论BGM的重要性,拳皇,大蛇,龙珠,孙悟空,BGM燃,60帧,伊格尼兹,战歌",貌似是第一次做这种1V4的，本视频无任何平衡性，想看公平公正格斗对战视频的请去看EVO去，酱紫
BV1pt41147ZD,http://www.bilibili.com/video/av40084322,【Mugen】拳皇：里草和血草,2019-01-06 19:09:23,4,剑心寒,3479163,128209,219,315,827,98,"拳皇,KOF,里草,血草",
BV11t41167ME,http://www.bilibili.com/video/av39580929,【Mugen】六小龄童vs初代奥特曼,2019-01-01 07:46:06,5,就改这破网名丶,178971345,126527,194,363,542,529,"MUGEN,六小龄童,孙悟空,西游记,mugen,奥特曼,特摄",用不详ai对战不详ai人物
BV1Qt41187vd,http://www.bilibili.com/video/av41289201,【Mugen】全然不信papyrus vs 尘埃sans,2019-01-21 13:14:00,6,本骨是一只帕派瑞斯,241383140,122462,94,291,582,378,"MUGEN,格斗,传说之下,UNDERTALE,狂级,全然不信,sans","papyrus：10P
sans：10P"
BV15t411b7vA,http://www.bilibili.com/video/av41498980,【MUGEN】老婆队 VS 妹妹队【1080P】【60帧】,2019-01-23 20:51:23,7,L的朋友,2025332,103736,295,1802,1141,858,"MUGEN,论BGM的重要性,刀剑神域,龙与虎,我的妹妹哪有这么可爱,小林家的龙女仆,蕾姆,某科学的超电磁炮,老婆,小埋",“老婆”可以是“妹妹”，“妹妹”也可以成为“老婆”，至于到底是谁的“老婆”谁的“妹妹”和我没有关系，反正都不是我的
BV1gt411t7cx,http://www.bilibili.com/video/av41841528,【Mugen】人物专场——迪亚波罗,2019-01-27 16:02:32,8,Civia_salyn,29511475,95098,207,513,426,942,"MUGEN,凶级,狂级,黄金之风,迪亚波罗,乔鲁诺乔巴拿,布鲁诺布加拉提,布姐,茸茸,意大利牛郎团",那么。这期视频有可能会是这个寒假的最后一期视频了，因为我现在是初三，也要准备一下中考什么的，再加上我是个学渣就更要努力了（我也是加把劲骑士）天赐良缘 一生一会，我们下次再见！（虽然这些好像在视频最后都说出来了）
BV1bt41187R2,http://www.bilibili.com/video/av41246860,【Mugen】全然不信papyrus vs Betty粉毛,2019-01-20 22:15:24,9,本骨是一只帕派瑞斯,241383140,84384,63,268,462,194,"MUGEN,UNDERTALE,全然不信,粉毛","papyrus:10P
粉毛：10P"
BV13t411471y,http://www.bilibili.com/video/av40046772,【MUGEN】蕾米莉亞&amp;迪亞波羅 VS 十六夜咲夜&amp;DIO,2019-01-06 11:21:49,10,天使君Aka蕾米親衛隊,35847842,84383,99,163,454,201,"JOJO的奇妙冒险,JOJO,MUGEN,东方project","全程AI對戰，東方、JOJO相關人物魔改
蕾米莉雅&amp;迪亞波羅 VS 十六夜咲夜&amp;DIO

錄影程式：Bandicam

蕾米莉亞：Nachel氏設計，el氏AI。
迪亞波羅：あまりもの氏設計。
十六夜咲夜：琥珀氏設計，ちぃたま氏AI。
DIO：惡咲3號設計，m-ism氏AI。"
BV15t411W7Yh,http://www.bilibili.com/video/av40558149,undertale mugen国王之战，激烈精彩到目不转睛,2019-01-12 17:47:51,11,五帝王超哥尔巴斯Q,26995145,84157,72,193,465,179,"MUGEN,UNDERTALE,SANS,同人",这是一场黑暗王与怪物王的惨烈战争，激烈到让人目不转睛。
